BPS,EVT,ACRES
BPS  Hardwood-Conifer,EVT  Developed,5
BPS  Hardwood-Conifer,EVT  Developed,1
BPS  Hardwood-Conifer,EVT  Agricultural,6
BPS  Hardwood-Conifer,EVT  Agricultural,8
BPS  Hardwood-Conifer,EVT  Agricultural,1
BPS  Hardwood-Conifer,EVT  Agricultural,98
BPS  Hardwood-Conifer,EVT  Riparian,0
BPS  Hardwood-Conifer,EVT  Riparian,1
BPS  Hardwood-Conifer,EVT  Riparian,1
BPS  Hardwood-Conifer,EVT  Riparian,1
BPS  Hardwood-Conifer,EVT  Riparian,1
BPS  Hardwood-Conifer,EVT  Riparian,1
BPS  Hardwood-Conifer,EVT  Riparian,1
BPS  Hardwood-Conifer,EVT  Riparian,40
BPS  Hardwood-Conifer,EVT  Conifer,5
BPS  Hardwood-Conifer,EVT  Conifer-Hardwood,1
BPS  Hardwood-Conifer,EVT  Exotic Tree-Shrub,1
BPS  Hardwood-Conifer,EVT  Riparian,0
BPS  Hardwood-Conifer,EVT  Exotic Herbaceous,4
BPS  Hardwood-Conifer,EVT  Grassland,11
BPS  Hardwood-Conifer,EVT  Shrubland,0
BPS  Hardwood-Conifer,EVT  Conifer,0
BPS  Hardwood-Conifer,EVT  Hardwood,30
BPS  Hardwood-Conifer,EVT  Conifer-Hardwood,39
BPS  Hardwood-Conifer,EVT  Hardwood,49
BPS  Hardwood-Conifer,EVT  Conifer-Hardwood,75
BPS  Hardwood-Conifer,EVT  Grassland,1
BPS  Hardwood-Conifer,EVT  Shrubland,147
BPS  Hardwood-Conifer,EVT  Developed-Low Intensity,11
BPS  Hardwood-Conifer,EVT  Developed-Medium Intensity,2
BPS  Hardwood-Conifer,EVT  Developed-High Intensity,0
BPS  Hardwood-Conifer,EVT  Developed-Roads,55
BPS  Hardwood-Conifer,EVT  Hardwood,7868
BPS  Hardwood-Conifer,EVT  Hardwood,1
BPS  Hardwood-Conifer,EVT  Conifer,33
BPS  Hardwood-Conifer,EVT  Conifer,52
BPS  Hardwood-Conifer,EVT  Conifer,168
BPS  Hardwood-Conifer,EVT  Conifer-Hardwood,15911
BPS  Hardwood-Conifer,EVT  Shrubland,7
BPS  Hardwood-Conifer,EVT  Conifer,217
BPS  Hardwood-Conifer,EVT  Hardwood,23
BPS  Hardwood-Conifer,EVT  Conifer,3
BPS  Hardwood-Conifer,EVT  Conifer-Hardwood,3
BPS  Hardwood-Conifer,EVT  Hardwood,1
BPS  Hardwood-Conifer,EVT  Hardwood,42
BPS  Hardwood-Conifer,EVT  Conifer-Hardwood,119
BPS  Hardwood-Conifer,EVT  Hardwood,10
BPS  Hardwood-Conifer,EVT  Conifer-Hardwood,2
BPS  Hardwood-Conifer,EVT  Developed,17
BPS  Hardwood-Conifer,EVT  Developed,19
BPS  Hardwood-Conifer,EVT  Developed,24
BPS  Hardwood-Conifer,EVT  Developed,30
BPS  Hardwood-Conifer,EVT  Developed,49
BPS  Hardwood-Conifer,EVT  Developed,2
BPS  Hardwood-Conifer,EVT  Developed,1
BPS  Hardwood-Conifer,EVT  Developed,69
BPS  Hardwood-Conifer,EVT  Developed,2
BPS  Hardwood-Conifer,EVT  Developed,6
BPS  Hardwood-Conifer,EVT  Agricultural,6
BPS  Hardwood-Conifer,EVT  Agricultural,2
BPS  Hardwood-Conifer,EVT  Agricultural,0
BPS  Hardwood-Conifer,EVT  Agricultural,0
BPS  Hardwood-Conifer,EVT  Agricultural,39
BPS  Hardwood-Conifer,EVT  Riparian,0
BPS  Hardwood-Conifer,EVT  Riparian,19
BPS  Hardwood-Conifer,EVT  Conifer,83
BPS  Hardwood-Conifer,EVT  Conifer,7
BPS  Hardwood-Conifer,EVT  Conifer-Hardwood,4
BPS  Hardwood-Conifer,EVT  Exotic Tree-Shrub,4
BPS  Hardwood-Conifer,EVT  Riparian,0
BPS  Hardwood-Conifer,EVT  Shrubland,2
BPS  Hardwood-Conifer,EVT  Exotic Herbaceous,39
BPS  Hardwood-Conifer,EVT  Grassland,2
BPS  Hardwood-Conifer,EVT  Conifer,1
BPS  Hardwood-Conifer,EVT  Hardwood,48
BPS  Hardwood-Conifer,EVT  Conifer-Hardwood,15
BPS  Hardwood-Conifer,EVT  Hardwood,21
BPS  Hardwood-Conifer,EVT  Conifer-Hardwood,27
BPS  Hardwood-Conifer,EVT  Quarries-Strip Mines-Gravel Pits-Well and Wind Pads,2
BPS  Hardwood-Conifer,EVT  Developed-Low Intensity,16
BPS  Hardwood-Conifer,EVT  Developed-Medium Intensity,2
BPS  Hardwood-Conifer,EVT  Developed-High Intensity,0
BPS  Hardwood-Conifer,EVT  Developed-Roads,1
BPS  Hardwood-Conifer,EVT  Hardwood,438
BPS  Hardwood-Conifer,EVT  Hardwood,21
BPS  Hardwood-Conifer,EVT  Conifer,10
BPS  Hardwood-Conifer,EVT  Conifer,18
BPS  Hardwood-Conifer,EVT  Conifer,1
BPS  Hardwood-Conifer,EVT  Conifer,3
BPS  Hardwood-Conifer,EVT  Conifer-Hardwood,28
BPS  Hardwood-Conifer,EVT  Hardwood,42
BPS  Hardwood-Conifer,EVT  Conifer-Hardwood,5
BPS  Hardwood-Conifer,EVT  Hardwood,16
BPS  Hardwood-Conifer,EVT  Conifer-Hardwood,3
BPS  Hardwood-Conifer,EVT  Hardwood,1
BPS  Hardwood-Conifer,EVT  Conifer-Hardwood,1
BPS  Hardwood-Conifer,EVT  Hardwood,1
BPS  Hardwood-Conifer,EVT  Developed,6
BPS  Hardwood-Conifer,EVT  Developed,3
BPS  Hardwood-Conifer,EVT  Developed,4
BPS  Hardwood-Conifer,EVT  Developed,8
BPS  Hardwood-Conifer,EVT  Developed,3
BPS  Hardwood-Conifer,EVT  Developed,4
BPS  Hardwood-Conifer,EVT  Developed,6
BPS  Hardwood-Conifer,EVT  Developed,4
BPS  Hardwood-Conifer,EVT  Developed,3
BPS  Hardwood-Conifer,EVT  Developed,4
BPS  Hardwood-Conifer,EVT  Agricultural,2
BPS  Hardwood-Conifer,EVT  Agricultural,0
BPS  Hardwood-Conifer,EVT  Agricultural,2
BPS  Hardwood-Conifer,EVT  Agricultural,3
BPS  Hardwood-Conifer,EVT  Conifer,6
BPS  Hardwood-Conifer,EVT  Conifer,2
BPS  Hardwood-Conifer,EVT  Conifer-Hardwood,1
BPS  Hardwood-Conifer,EVT  Exotic Tree-Shrub,1
BPS  Hardwood-Conifer,EVT  Shrubland,2
BPS  Hardwood-Conifer,EVT  Exotic Herbaceous,2
BPS  Hardwood-Conifer,EVT  Developed-Low Intensity,0
BPS  Grassland,EVT  Developed-Medium Intensity,0
BPS  Grassland,EVT  Hardwood,1
BPS  Grassland,EVT  Riparian,0
BPS  Grassland,EVT  Developed,1
BPS  Grassland,EVT  Riparian,0
