BPS_NAME,EVT_PHYS2,ACRES
Rocky Mountain Subalpine Mesic-Wet Spruce-Fir Forest and Woodland,Exotics,15050.046
Rocky Mountain Subalpine Mesic-Wet Spruce-Fir Forest and Woodland,OtherClearing,318.126
Texas-Louisiana Coastal Prairie,Agricultural,5365796.388
Texas-Louisiana Coastal Prairie,NaturalVeg,1164312.744
Texas-Louisiana Coastal Prairie,Developed,1940953.326
Texas-Louisiana Coastal Prairie,Exotics,555240.648
Texas-Louisiana Coastal Prairie,OtherClearing,2441.112
North Pacific Maritime Mesic-Wet Douglas-fir-Western Hemlock Forest,Agricultural,382557.726
North Pacific Maritime Mesic-Wet Douglas-fir-Western Hemlock Forest,NaturalVeg,7460989.764
North Pacific Maritime Mesic-Wet Douglas-fir-Western Hemlock Forest,Developed,1009129.416
North Pacific Maritime Mesic-Wet Douglas-fir-Western Hemlock Forest,Exotics,92437.692
North Pacific Maritime Mesic-Wet Douglas-fir-Western Hemlock Forest,OtherClearing,1460.094
Boreal Acidic Peatland Systems,Agricultural,229028.964
Boreal Acidic Peatland Systems,NaturalVeg,8371050.57
Boreal Acidic Peatland Systems,Developed,167378.676
Boreal Acidic Peatland Systems,Exotics,92631.942
Boreal Acidic Peatland Systems,OtherClearing,1103.118
Tamaulipan Mixed Deciduous Thornscrub,Agricultural,2582493.366
Tamaulipan Mixed Deciduous Thornscrub,NaturalVeg,4406541.048
Tamaulipan Mixed Deciduous Thornscrub,Developed,581414.67
Tamaulipan Mixed Deciduous Thornscrub,Exotics,1122039.504
Tamaulipan Mixed Deciduous Thornscrub,OtherClearing,30692.832
Northern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest-Ponderosa Pine-Douglas-fir,Agricultural,112532.688
Northern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest-Ponderosa Pine-Douglas-fir,NaturalVeg,8316262.524
Northern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest-Ponderosa Pine-Douglas-fir,Developed,121848.696
Northern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest-Ponderosa Pine-Douglas-fir,Exotics,50795.154
Northern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest-Ponderosa Pine-Douglas-fir,OtherClearing,4015.98
Southern Piedmont Mesic Forest,Agricultural,875417.04
Southern Piedmont Mesic Forest,NaturalVeg,5606428.404
Southern Piedmont Mesic Forest,Developed,1952737.53
Southern Piedmont Mesic Forest,Exotics,63676.26
Southern Piedmont Mesic Forest,OtherClearing,3104.448
Inter-Mountain Basins Semi-Desert Grassland,Agricultural,1008052.05
Inter-Mountain Basins Semi-Desert Grassland,NaturalVeg,6516197.058
Inter-Mountain Basins Semi-Desert Grassland,Developed,306971.166
Inter-Mountain Basins Semi-Desert Grassland,Exotics,351224.424
Inter-Mountain Basins Semi-Desert Grassland,OtherClearing,7751.352
Southern Coastal Plain Mesic Slope Forest,Agricultural,1242040.272
Southern Coastal Plain Mesic Slope Forest,NaturalVeg,4912337.412
Southern Coastal Plain Mesic Slope Forest,Developed,1388407.314
Southern Coastal Plain Mesic Slope Forest,Exotics,257513.118
Southern Coastal Plain Mesic Slope Forest,OtherClearing,3188.586
California Lower Montane Blue Oak-Foothill Pine Woodland and Savanna,Agricultural,858817.434
California Lower Montane Blue Oak-Foothill Pine Woodland and Savanna,NaturalVeg,3609077.754
California Lower Montane Blue Oak-Foothill Pine Woodland and Savanna,Developed,1031105.418
California Lower Montane Blue Oak-Foothill Pine Woodland and Savanna,Exotics,2270828.01
California Lower Montane Blue Oak-Foothill Pine Woodland and Savanna,OtherClearing,2323.23
Southern Coastal Plain Dry Upland Hardwood Forest,Agricultural,755938.638
Southern Coastal Plain Dry Upland Hardwood Forest,NaturalVeg,5509177.086
Southern Coastal Plain Dry Upland Hardwood Forest,Developed,1135162.59
Southern Coastal Plain Dry Upland Hardwood Forest,Exotics,257975.544
Southern Coastal Plain Dry Upland Hardwood Forest,OtherClearing,1937.172
Chihuahuan Loamy Plains Desert Grassland,Agricultural,418792.566
Chihuahuan Loamy Plains Desert Grassland,NaturalVeg,4587108.3
Chihuahuan Loamy Plains Desert Grassland,Developed,160395
Chihuahuan Loamy Plains Desert Grassland,Exotics,1850195.286
Chihuahuan Loamy Plains Desert Grassland,OtherClearing,66720.768
Mediterranean California Mesic Mixed Conifer Forest and Woodland,Agricultural,25092.438
Mediterranean California Mesic Mixed Conifer Forest and Woodland,NaturalVeg,6894930.612
Mediterranean California Mesic Mixed Conifer Forest and Woodland,Developed,122404.584
Mediterranean California Mesic Mixed Conifer Forest and Woodland,Exotics,35218.302
Mediterranean California Mesic Mixed Conifer Forest and Woodland,OtherClearing,581.64
Atlantic Coastal Plain Mesic Hardwood Forest,Agricultural,1879796.322
Atlantic Coastal Plain Mesic Hardwood Forest,NaturalVeg,3228643.902
Atlantic Coastal Plain Mesic Hardwood Forest,Developed,1807810.158
Atlantic Coastal Plain Mesic Hardwood Forest,Exotics,114363.744
Atlantic Coastal Plain Mesic Hardwood Forest,OtherClearing,2049.726
East-Central Texas Plains Post Oak Savanna and Woodland,Agricultural,2966278.53
East-Central Texas Plains Post Oak Savanna and Woodland,NaturalVeg,2384300.202
East-Central Texas Plains Post Oak Savanna and Woodland,Developed,811077.222
East-Central Texas Plains Post Oak Savanna and Woodland,Exotics,814599.918
East-Central Texas Plains Post Oak Savanna and Woodland,OtherClearing,11860.794
Northern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest,Agricultural,354051.816
Northern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest,NaturalVeg,6403659.264
Northern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest,Developed,111271.506
Northern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest,Exotics,101167.398
Northern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest,OtherClearing,92.352
Chihuahuan Succulent Desert Scrub,Agricultural,127356.516
Chihuahuan Succulent Desert Scrub,NaturalVeg,5740680.018
Chihuahuan Succulent Desert Scrub,Developed,165106.062
Chihuahuan Succulent Desert Scrub,Exotics,836146.128
Chihuahuan Succulent Desert Scrub,OtherClearing,8857.134
Central Interior and Appalachian Swamp Systems,Agricultural,2091021.552
Central Interior and Appalachian Swamp Systems,NaturalVeg,3072986.826
Central Interior and Appalachian Swamp Systems,Developed,1382357.814
Central Interior and Appalachian Swamp Systems,Exotics,127009.752
Central Interior and Appalachian Swamp Systems,OtherClearing,5478.516
Rocky Mountain Aspen Forest and Woodland,Agricultural,87304.608
Rocky Mountain Aspen Forest and Woodland,NaturalVeg,6393139.572
Rocky Mountain Aspen Forest and Woodland,Developed,39938.688
Rocky Mountain Aspen Forest and Woodland,Exotics,100710.3
Rocky Mountain Aspen Forest and Woodland,OtherClearing,515.706
Middle Rocky Mountain Montane Douglas-fir Forest and Woodland,Agricultural,19069.578
Middle Rocky Mountain Montane Douglas-fir Forest and Woodland,NaturalVeg,6424885.35
Middle Rocky Mountain Montane Douglas-fir Forest and Woodland,Developed,14203.56
Middle Rocky Mountain Montane Douglas-fir Forest and Woodland,Exotics,26379.15
Middle Rocky Mountain Montane Douglas-fir Forest and Woodland,OtherClearing,2249.526
Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland,Agricultural,95573.22
Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland,NaturalVeg,5875092.582
Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland,Developed,257376.588
Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland,Exotics,172194.078
Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland,OtherClearing,1248.75
Great Basin Pinyon-Juniper Woodland,Agricultural,6614.934
Great Basin Pinyon-Juniper Woodland,NaturalVeg,5937918.36
Great Basin Pinyon-Juniper Woodland,Developed,11100.222
Great Basin Pinyon-Juniper Woodland,Exotics,176770.83
Great Basin Pinyon-Juniper Woodland,OtherClearing,1288.044
Laurentian-Acadian Alkaline Conifer-Hardwood Swamp,Agricultural,136753.998
Laurentian-Acadian Alkaline Conifer-Hardwood Swamp,NaturalVeg,5789909.628
Laurentian-Acadian Alkaline Conifer-Hardwood Swamp,Developed,144281.796
Laurentian-Acadian Alkaline Conifer-Hardwood Swamp,Exotics,44717.016
Laurentian-Acadian Alkaline Conifer-Hardwood Swamp,OtherClearing,1244.976
Sonoran Granite Outcrop Desert Scrub,Agricultural,63768.168
Sonoran Granite Outcrop Desert Scrub,NaturalVeg,5219028.414
Sonoran Granite Outcrop Desert Scrub,Developed,403837.98
Sonoran Granite Outcrop Desert Scrub,Exotics,116715.39
Sonoran Granite Outcrop Desert Scrub,OtherClearing,21595.494
Laurentian-Acadian Northern Pine(-Oak) Forest,Agricultural,946408.422
Laurentian-Acadian Northern Pine(-Oak) Forest,NaturalVeg,3794311.002
Laurentian-Acadian Northern Pine(-Oak) Forest,Developed,940392.888
Laurentian-Acadian Northern Pine(-Oak) Forest,Exotics,101951.724
Laurentian-Acadian Northern Pine(-Oak) Forest,OtherClearing,3395.712
Inter-Mountain Basins Montane Riparian Systems,Agricultural,2295315.054
Inter-Mountain Basins Montane Riparian Systems,NaturalVeg,2449640.13
Inter-Mountain Basins Montane Riparian Systems,Developed,443189.256
Inter-Mountain Basins Montane Riparian Systems,Exotics,555467.754
Inter-Mountain Basins Montane Riparian Systems,OtherClearing,868.686
