GP,VDEP,Percent
 Silt/clay over limestone,54,1.882457736
 Silt/clay over limestone,57,0.014474734
 Silt/clay over limestone,60,0.025237998
 Silt/clay over limestone,61,11.13478204
 Silt/clay over limestone,62,0.011134411
 Silt/clay over limestone,65,15.044816
 Silt/clay over limestone,79,0.067177612
 Silt/clay over limestone,80,6.603447956
 Silt/clay over limestone,83,0.075713994
 Silt/clay over limestone,85,0.381168
 Silt/clay over limestone,86,14.72822759
 Silt/clay over limestone,89,0.004453764
 Silt/clay over limestone,95,7.393248836
 Silt/clay over limestone,100,4.804869449
